路口名称,经度,纬度,详细信息
S19/金王线(路口),122.838604,39.773845,大连市庄河市金王线
塔大线/四仲线(路口),123.035609,40.057146,大连市庄河市塔大线
歇郭线/石太线(路口),122.969407,39.859765,大连市庄河市石太线
万石线/赵小线(路口),122.679068,39.80171,大连市庄河市赵小线
明阳街/福康路(路口),122.620177,39.570343,大连市庄河市明阳街
许英线/熊万线(路口),122.140371,40.008237,大连市瓦房店市许英线
万向线/李闻线(路口),122.132928,39.95791,大连市瓦房店市李闻线
土鞠线/爱大线(路口),121.946245,39.978981,大连市瓦房店市土吴线
潘潘线/下苇线(路口),121.875384,39.829182,大连市瓦房店市潘潘线
南纺线/花张线(路口),121.966587,39.469093,大连市普兰店区花张线与南纺线交叉路口东侧
三堂街/城八线(路口),121.465485,39.604084,大连市瓦房店市三堂街
光海路/龙口路(路口),121.37722,39.536822,大连市瓦房店市龙口路
和谐街/杏阮线(路口),122.153097,39.27029,大连市金州区杏阮线
华北线/敬业路(路口),122.037261,39.285954,大连市金州区敬业路
柳王线/盖亮线(路口),121.978213,39.361249,大连市普兰店区S212
亮泉路/鹤大线(路口),121.954293,39.231729,大连市金州区亮泉路
付大线/莲付线(路口),121.745267,39.237103,大连市金州区付大线
庄茧线/G305(路口),122.565772,40.023983,大连市庄河市G305
G11/城下线(路口),122.480918,39.545001,大连市普兰店区S313
G201/李于线(路口),121.986935,39.248006,大连市金州区李于线
S212/徐望线(路口),121.944921,39.258914,大连市金州区徐望线
G201/解放路(路口),121.732584,39.107877,大连市金州区G201
G201/星辰街(路口),121.5917,38.900373,大连市沙河口区G201
前山街/G202(路口),121.255817,38.878827,大连市旅顺口区前山街
青盛线/鹤大线(路口),123.270048,39.836203,大连市庄河市青海路
G201/刘后线(路口),123.459813,39.866179,大连市庄河市G201
G201/金港街(路口),121.596297,38.973062,大连市甘井子区G201
G202/胜利路(路口),121.700568,39.095966,大连市金州区
杨家沟大桥/龙李线(路口),122.096312,40.035119,大连市瓦房店市
华乐街/海乐街(路口),121.684348,38.923552,大连市中山区海乐街
沧泉街/清泉街(路口),121.608908,39.011443,大连市甘井子区清泉街
姜娄线/孙得线(路口),123.124246,39.88008,大连市庄河市孙得线
杜小线/鹤大线(路口),123.106633,39.794036,大连市庄河市G201
大猴线/转棋线(路口),122.106884,39.246036,大连市金州区大猴线
光黄线/大冷线(路口),123.166391,39.757631,大连市庄河市光黄线
步行街/延安路(路口),122.984019,39.707131,辽宁省大连市庄河市
S313/长兴路(路口),121.305106,39.525871,大连市瓦房店市光海路
G15/鹤大线(路口),121.64313,39.038129,大连市甘井子区
G202/迎金路(路口),121.633179,39.040003,大连市甘井子区
G11/鹤大线(路口),121.704368,39.071132,大连市甘井子区鹤大高速
S203/石太线(路口),122.998714,39.838968,大连市庄河市石太线
G15/东南线(路口),122.006435,40.025899,大连市瓦房店市东南线
长生路/龙口路(路口),121.370094,39.551995,大连市瓦房店市
长兴路/黄海街(路口),121.374279,39.569942,大连市瓦房店市黄海街
丹枫路/丹桥街(路口),122.024461,39.091849,大连市金州区丹桥街
双西线/潘大桥(路口),121.867041,39.76046,大连市瓦房店市双西线
G305/鹤大线(路口),122.963981,39.711341,大连市庄河市G201
G202/虹城路(路口),121.444582,39.001413,大连市甘井子区G202
